"county_areas","region","date","month","year","quarter","homicide_uns","offences_against_the_person_uns","sexual_offences_uns","burglary_uns","robbery_uns","theft_and_handling_uns","fraud_and_forgery_uns","criminal_damage_uns","drugs_offences_uns","public_order_offences_uns","all_other_offences_uns","motoring_offences_uns","admin_finalised_uns"
"Essex","East of England","2014-12-01","Dec",2014,"Q4_2014",1,82,11,6,1,16,5,14,11,15,6,28,14
"Gloucestershire","South West","2014-12-01","Dec",2014,"Q4_2014",0,20,2,3,0,8,0,1,1,4,4,2,2
"GreaterManchester","North West","2014-12-01","Dec",2014,"Q4_2014",1,134,26,10,3,22,5,10,8,22,12,58,38
"Gwent","Cymru/Wales","2014-12-01","Dec",2014,"Q4_2014",0,18,1,2,0,3,0,3,0,6,2,15,4
"Hampshire","Oxfordshire","2014-12-01","Dec",2014,"Q4_2014",0,105,12,5,5,16,2,10,5,12,6,27,23
"Hertfordshire","Thames and Chiltern","2014-12-01","Dec",2014,"Q4_2014",0,62,0,4,3,13,1,4,7,13,5,27,12
"Humberside","Yorkshire and Humberside","2014-12-01","Dec",2014,"Q4_2014",0,35,16,5,2,27,1,8,5,16,2,23,7
"Kent","South East","2014-12-01","Dec",2014,"Q4_2014",0,64,11,6,7,42,1,11,2,17,23,28,38
"Lancashire","North West","2014-12-01","Dec",2014,"Q4_2014",0,81,13,3,3,13,3,25,5,13,15,36,22
"Leicestershire","East Midlands","2014-12-01","Dec",2014,"Q4_2014",0,34,1,1,1,12,1,6,5,3,2,12,9
"Lincolnshire","East Midlands","2014-12-01","Dec",2014,"Q4_2014",0,17,0,4,1,14,0,2,0,5,7,16,10
"Merseyside","Mersey-Cheshire","2014-12-01","Dec",2014,"Q4_2014",0,83,6,6,1,28,1,12,12,17,16,17,19
"Metropolitan and City","Greater London","2014-12-01","Dec",2014,"Q4_2014",9,582,65,51,44,140,36,61,73,128,101,309,221
"Norfolk","East of England","2014-12-01","Dec",2014,"Q4_2014",0,33,1,3,1,17,1,9,3,13,2,21,7
"Northamptonshire","East Midlands","2014-12-01","Dec",2014,"Q4_2014",0,42,3,0,0,18,2,6,4,12,2,12,17
"Northumbria","North East","2014-12-01","Dec",2014,"Q4_2014",0,102,14,9,2,55,2,24,15,37,16,41,14
"North Wales","Cymru/Wales","2014-12-01","Dec",2014,"Q4_2014",0,30,9,0,0,5,0,5,1,8,1,12,3
"North Yorkshire","Yorkshire and Humberside","2014-12-01","Dec",2014,"Q4_2014",0,37,0,6,1,25,3,4,2,16,4,16,9
"Nottinghamshire","East Midlands","2014-12-01","Dec",2014,"Q4_2014",2,61,5,7,1,11,1,7,7,9,10,10,23
"South Wales","Cymru/Wales","2014-12-01","Dec",2014,"Q4_2014",0,106,13,3,3,16,4,9,4,23,1,83,17
"South Yorkshire","Yorkshire and Humberside","2014-12-01","Dec",2014,"Q4_2014",0,64,2,4,3,22,0,6,8,11,5,10,14
"Staffordshire","West Midlands","2014-12-01","Dec",2014,"Q4_2014",0,62,6,8,2,17,0,7,6,10,4,24,3
"Suffolk","East of England","2014-12-01","Dec",2014,"Q4_2014",0,22,2,0,0,9,1,2,5,5,4,7,8
"Surrey","South East","2014-12-01","Dec",2014,"Q4_2014",0,27,3,1,0,12,1,1,6,7,8,17,14
"Sussex","South East","2014-12-01","Dec",2014,"Q4_2014",0,73,6,7,3,23,2,9,4,24,16,23,23
"Thames Valley","Thames and Chiltern","2014-12-01","Dec",2014,"Q4_2014",0,123,20,7,1,36,7,12,15,18,11,34,39
"Warwickshire","West Midlands","2014-12-01","Dec",2014,"Q4_2014",0,7,1,1,0,4,0,2,1,1,6,31,1
"West Mercia","West Midlands","2014-12-01","Dec",2014,"Q4_2014",0,38,6,1,1,12,2,8,0,1,4,22,1
"West Midlands","West Midlands","2014-12-01","Dec",2014,"Q4_2014",0,160,14,14,12,43,3,14,13,35,46,45,19
"West Yorkshire","Yorkshire and Humberside","2014-12-01","Dec",2014,"Q4_2014",0,164,14,11,13,44,8,22,9,25,16,54,14
"Wiltshire","Oxfordshire","2014-12-01","Dec",2014,"Q4_2014",0,18,0,2,4,8,0,3,1,3,4,9,2
"Avon and Somerset","South West","2015-01-01","Jan",2015,"Q1_2015",0,68,13,5,0,25,4,8,8,26,18,59,45
"Bedfordshire","Thames and Chiltern","2015-01-01","Jan",2015,"Q1_2015",0,36,2,3,0,22,0,8,3,4,2,18,14
"Cambridgeshire","East of England","2015-01-01","Jan",2015,"Q1_2015",0,12,0,2,5,7,0,7,2,4,4,5,10
"Cheshire","Mersey-Cheshire","2015-01-01","Jan",2015,"Q1_2015",0,41,2,1,1,19,7,3,4,11,9,17,11
"Cleveland","North East","2015-01-01","Jan",2015,"Q1_2015",0,34,3,9,1,27,2,13,2,39,7,11,5
"Cumbria","North West","2015-01-01","Jan",2015,"Q1_2015",1,15,1,0,1,9,0,4,0,9,9,18,7
"Derbyshire","East Midlands","2015-01-01","Jan",2015,"Q1_2015",0,51,6,5,5,10,0,9,6,9,9,10,20
"Devon and Cornwall","South West","2015-01-01","Jan",2015,"Q1_2015",0,57,2,3,0,22,0,7,2,18,12,22,15
"Dorset","Oxfordshire","2015-01-01","Jan",2015,"Q1_2015",0,40,2,5,1,4,0,5,1,4,0,12,8
"Durham","North East","2015-01-01","Jan",2015,"Q1_2015",0,34,4,5,1,22,0,3,2,10,2,9,5
"Dyfed Powys","Cymru/Wales","2015-01-01","Jan",2015,"Q1_2015",0,18,3,1,0,7,2,7,3,6,0,11,4
"Essex","East of England","2015-01-01","Jan",2015,"Q1_2015",0,83,17,6,6,16,2,13,5,7,8,39,31
"Gloucestershire","South West","2015-01-01","Jan",2015,"Q1_2015",0,16,2,1,0,9,1,1,1,2,6,5,8
"GreaterManchester","North West","2015-01-01","Jan",2015,"Q1_2015",0,176,22,11,2,34,10,16,8,38,22,65,37
"Gwent","Cymru/Wales","2015-01-01","Jan",2015,"Q1_2015",0,29,2,5,2,7,0,5,4,7,2,12,9
"Hampshire","Oxfordshire","2015-01-01","Jan",2015,"Q1_2015",0,94,10,4,0,37,5,8,11,22,5,44,35
"Hertfordshire","Thames and Chiltern","2015-01-01","Jan",2015,"Q1_2015",0,59,1,9,5,16,5,7,8,9,5,26,15
"Humberside","Yorkshire and Humberside","2015-01-01","Jan",2015,"Q1_2015",3,37,10,6,1,13,2,12,2,12,2,19,9
"Kent","South East","2015-01-01","Jan",2015,"Q1_2015",0,98,8,5,2,39,5,22,7,20,23,38,49
"Lancashire","North West","2015-01-01","Jan",2015,"Q1_2015",0,78,5,17,5,18,4,16,3,20,12,33,16
"Leicestershire","East Midlands","2015-01-01","Jan",2015,"Q1_2015",0,47,4,6,2,15,4,5,4,7,4,19,3
"Lincolnshire","East Midlands","2015-01-01","Jan",2015,"Q1_2015",0,23,1,2,0,12,1,2,2,5,5,15,7
"Merseyside","Mersey-Cheshire","2015-01-01","Jan",2015,"Q1_2015",0,94,5,1,5,20,2,18,13,12,20,17,23
"Metropolitan and City","Greater London","2015-01-01","Jan",2015,"Q1_2015",9,662,63,61,60,143,51,59,76,121,120,339,211
"Norfolk","East of England","2015-01-01","Jan",2015,"Q1_2015",0,55,2,1,0,21,3,10,0,12,10,18,11
"Northamptonshire","East Midlands","2015-01-01","Jan",2015,"Q1_2015",0,50,3,4,4,11,1,10,4,7,3,15,10
"Northumbria","North East","2015-01-01","Jan",2015,"Q1_2015",0,123,11,4,1,62,2,29,17,42,29,75,24
"North Wales","Cymru/Wales","2015-01-01","Jan",2015,"Q1_2015",0,40,7,1,0,6,0,3,1,4,2,9,2
"North Yorkshire","Yorkshire and Humberside","2015-01-01","Jan",2015,"Q1_2015",0,25,0,5,0,14,0,5,2,11,7,11,8
"Nottinghamshire","East Midlands","2015-01-01","Jan",2015,"Q1_2015",0,60,3,7,8,18,1,8,5,14,8,19,19
"South Wales","Cymru/Wales","2015-01-01","Jan",2015,"Q1_2015",0,119,8,5,0,19,2,16,8,43,3,60,26
"South Yorkshire","Yorkshire and Humberside","2015-01-01","Jan",2015,"Q1_2015",0,84,3,9,1,10,0,6,8,7,6,20,23
"Staffordshire","West Midlands","2015-01-01","Jan",2015,"Q1_2015",0,70,7,8,3,21,1,6,12,25,3,33,3
"Suffolk","East of England","2015-01-01","Jan",2015,"Q1_2015",0,23,5,2,0,5,0,6,2,7,1,16,4
"Surrey","South East","2015-01-01","Jan",2015,"Q1_2015",0,46,8,3,0,18,3,7,1,5,20,19,11
"Sussex","South East","2015-01-01","Jan",2015,"Q1_2015",0,74,11,5,0,17,1,9,9,20,23,24,48
"Thames Valley","Thames and Chiltern","2015-01-01","Jan",2015,"Q1_2015",0,145,21,11,5,34,1,11,12,30,9,51,30
"Warwickshire","West Midlands","2015-01-01","Jan",2015,"Q1_2015",0,14,0,4,2,9,0,2,1,4,5,22,3
"West Mercia","West Midlands","2015-01-01","Jan",2015,"Q1_2015",0,60,7,1,0,14,1,6,2,13,3,22,1
"West Midlands","West Midlands","2015-01-01","Jan",2015,"Q1_2015",1,194,13,30,14,57,5,22,23,26,22,67,53
"West Yorkshire","Yorkshire and Humberside","2015-01-01","Jan",2015,"Q1_2015",0,135,19,10,2,41,7,29,8,36,11,87,25
"Wiltshire","Oxfordshire","2015-01-01","Jan",2015,"Q1_2015",0,16,1,0,0,8,1,3,1,11,0,8,6
"Avon and Somerset","South West","2015-02-01","Feb",2015,"Q1_2015",0,64,15,7,1,12,6,14,9,14,16,69,54
"Bedfordshire","Thames and Chiltern","2015-02-01","Feb",2015,"Q1_2015",0,28,0,1,1,7,0,2,2,4,0,9,22
"Cambridgeshire","East of England","2015-02-01","Feb",2015,"Q1_2015",0,32,1,0,4,9,0,6,0,5,6,12,33
"Cheshire","Mersey-Cheshire","2015-02-01","Feb",2015,"Q1_2015",0,22,2,2,0,15,1,6,7,9,2,16,14
"Cleveland","North East","2015-02-01","Feb",2015,"Q1_2015",0,38,6,4,1,22,0,7,3,21,2,3,5
"Cumbria","North West","2015-02-01","Feb",2015,"Q1_2015",0,15,2,0,4,5,4,2,0,5,6,10,1
"Derbyshire","East Midlands","2015-02-01","Feb",2015,"Q1_2015",0,54,4,5,0,19,1,8,5,11,12,18,18
"Devon and Cornwall","South West","2015-02-01","Feb",2015,"Q1_2015",1,65,1,2,0,10,1,14,5,5,13,27,26
"Dorset","Oxfordshire","2015-02-01","Feb",2015,"Q1_2015",0,31,5,4,1,10,0,4,0,9,1,8,10
"Durham","North East","2015-02-01","Feb",2015,"Q1_2015",0,38,7,8,0,20,1,12,4,7,5,6,1
"Dyfed Powys","Cymru/Wales","2015-02-01","Feb",2015,"Q1_2015",0,32,1,1,0,3,0,4,3,7,1,15,2
"Essex","East of England","2015-02-01","Feb",2015,"Q1_2015",0,79,21,4,3,22,2,12,2,12,2,24,12
"Gloucestershire","South West","2015-02-01","Feb",2015,"Q1_2015",0,21,2,3,0,9,7,2,2,8,6,8,20
"GreaterManchester","North West","2015-02-01","Feb",2015,"Q1_2015",0,146,25,14,4,24,6,20,15,34,14,67,26
"Gwent","Cymru/Wales","2015-02-01","Feb",2015,"Q1_2015",1,22,1,2,2,8,1,8,4,12,3,12,4
"Hampshire","Oxfordshire","2015-02-01","Feb",2015,"Q1_2015",0,109,18,8,2,27,3,12,9,20,12,33,18
"Hertfordshire","Thames and Chiltern","2015-02-01","Feb",2015,"Q1_2015",0,59,2,6,1,17,1,4,6,9,1,22,13
"Humberside","Yorkshire and Humberside","2015-02-01","Feb",2015,"Q1_2015",1,47,7,4,0,18,3,6,4,10,6,22,10
"Kent","South East","2015-02-01","Feb",2015,"Q1_2015",0,71,12,11,3,37,6,15,5,19,14,24,23
"Lancashire","North West","2015-02-01","Feb",2015,"Q1_2015",1,77,11,11,4,17,3,17,7,14,14,46,12
"Leicestershire","East Midlands","2015-02-01","Feb",2015,"Q1_2015",0,45,1,3,2,7,2,7,0,7,2,15,23
"Lincolnshire","East Midlands","2015-02-01","Feb",2015,"Q1_2015",0,24,3,5,1,10,1,3,0,9,6,30,14
"Merseyside","Mersey-Cheshire","2015-02-01","Feb",2015,"Q1_2015",0,89,17,5,4,17,1,6,19,24,16,19,19
"Metropolitan and City","Greater London","2015-02-01","Feb",2015,"Q1_2015",1,621,71,65,37,135,33,57,58,124,114,341,148
"Norfolk","East of England","2015-02-01","Feb",2015,"Q1_2015",0,60,2,6,2,10,2,11,3,8,3,19,14
"Northamptonshire","East Midlands","2015-02-01","Feb",2015,"Q1_2015",0,27,3,8,0,10,2,7,1,9,4,13,11
"Northumbria","North East","2015-02-01","Feb",2015,"Q1_2015",0,92,5,13,5,48,3,25,10,72,11,51,6
"North Wales","Cymru/Wales","2015-02-01","Feb",2015,"Q1_2015",0,37,7,3,1,7,0,10,5,3,3,11,2
"North Yorkshire","Yorkshire and Humberside","2015-02-01","Feb",2015,"Q1_2015",0,31,0,1,0,6,1,4,1,7,8,14,12
"Nottinghamshire","East Midlands","2015-02-01","Feb",2015,"Q1_2015",0,75,3,14,4,31,3,19,3,11,10,25,16
"South Wales","Cymru/Wales","2015-02-01","Feb",2015,"Q1_2015",0,118,13,7,1,19,1,12,7,26,1,77,13
"South Yorkshire","Yorkshire and Humberside","2015-02-01","Feb",2015,"Q1_2015",0,66,0,2,6,30,1,12,6,17,8,18,15
"Staffordshire","West Midlands","2015-02-01","Feb",2015,"Q1_2015",0,54,5,5,2,21,1,13,3,11,5,48,9
"Suffolk","East of England","2015-02-01","Feb",2015,"Q1_2015",1,28,1,3,3,6,0,2,0,7,1,22,4
"Surrey","South East","2015-02-01","Feb",2015,"Q1_2015",0,53,5,0,0,13,1,6,4,16,10,22,12
"Sussex","South East","2015-02-01","Feb",2015,"Q1_2015",0,84,14,8,0,21,4,9,11,22,14,25,15
"Thames Valley","Thames and Chiltern","2015-02-01","Feb",2015,"Q1_2015",0,141,16,10,6,27,3,10,6,18,14,39,21
"Warwickshire","West Midlands","2015-02-01","Feb",2015,"Q1_2015",0,16,1,0,3,2,0,1,1,3,3,23,8
"West Mercia","West Midlands","2015-02-01","Feb",2015,"Q1_2015",0,57,12,5,3,9,3,2,1,10,4,18,6
"West Midlands","West Midlands","2015-02-01","Feb",2015,"Q1_2015",2,154,13,14,13,57,10,12,18,22,31,41,23
"West Yorkshire","Yorkshire and Humberside","2015-02-01","Feb",2015,"Q1_2015",0,126,16,20,0,33,8,19,7,30,13,66,17
"Wiltshire","Oxfordshire","2015-02-01","Feb",2015,"Q1_2015",0,26,5,2,1,11,1,4,0,5,1,8,3
"Avon and Somerset","South West","2015-03-01","Mar",2015,"Q1_2015",0,71,15,3,1,23,4,14,6,11,9,58,27
"Bedfordshire","Thames and Chiltern","2015-03-01","Mar",2015,"Q1_2015",0,32,1,1,2,10,8,2,4,13,2,6,8
"Cambridgeshire","East of England","2015-03-01","Mar",2015,"Q1_2015",0,29,3,2,1,4,1,3,5,4,5,9,9
"Cheshire","Mersey-Cheshire","2015-03-01","Mar",2015,"Q1_2015",0,40,5,0,5,15,1,3,3,3,8,10,7
"Cleveland","North East","2015-03-01","Mar",2015,"Q1_2015",0,40,3,3,1,23,4,10,8,13,0,9,4
"Cumbria","North West","2015-03-01","Mar",2015,"Q1_2015",0,18,1,5,0,5,0,3,1,3,5,8,2
"Derbyshire","East Midlands","2015-03-01","Mar",2015,"Q1_2015",0,64,4,4,14,20,2,14,7,19,9,15,8
"Devon and Cornwall","South West","2015-03-01","Mar",2015,"Q1_2015",0,63,2,3,0,14,4,11,5,12,14,16,10
"Dorset","Oxfordshire","2015-03-01","Mar",2015,"Q1_2015",0,33,6,2,0,6,1,0,2,6,4,16,7
"Durham","North East","2015-03-01","Mar",2015,"Q1_2015",0,44,9,7,0,8,4,14,4,11,1,11,0
"Dyfed Powys","Cymru/Wales","2015-03-01","Mar",2015,"Q1_2015",0,34,0,3,0,10,4,6,3,2,0,16,1
"Essex","East of England","2015-03-01","Mar",2015,"Q1_2015",0,93,16,5,4,21,1,5,2,9,11,33,20
"Gloucestershire","South West","2015-03-01","Mar",2015,"Q1_2015",0,18,0,0,2,9,3,2,2,5,7,7,8
"GreaterManchester","North West","2015-03-01","Mar",2015,"Q1_2015",0,157,28,9,8,22,5,16,13,45,9,69,21
"Gwent","Cymru/Wales","2015-03-01","Mar",2015,"Q1_2015",0,30,1,0,1,8,0,4,4,10,0,10,2
"Hampshire","Oxfordshire","2015-03-01","Mar",2015,"Q1_2015",0,79,21,10,1,30,3,12,9,19,10,50,13
"Hertfordshire","Thames and Chiltern","2015-03-01","Mar",2015,"Q1_2015",1,67,1,7,8,18,1,4,4,9,7,42,7
"Humberside","Yorkshire and Humberside","2015-03-01","Mar",2015,"Q1_2015",1,35,6,5,1,16,1,8,7,9,2,19,17
"Kent","South East","2015-03-01","Mar",2015,"Q1_2015",1,86,9,8,5,24,7,14,8,29,8,20,25
"Lancashire","North West","2015-03-01","Mar",2015,"Q1_2015",0,93,15,6,2,41,3,7,4,26,22,56,7
"Leicestershire","East Midlands","2015-03-01","Mar",2015,"Q1_2015",1,50,4,2,1,17,5,4,5,14,4,20,10
"Lincolnshire","East Midlands","2015-03-01","Mar",2015,"Q1_2015",1,23,0,0,2,10,1,7,3,5,8,26,15
"Merseyside","Mersey-Cheshire","2015-03-01","Mar",2015,"Q1_2015",0,81,14,1,1,10,6,17,17,24,14,35,11
"Metropolitan and City","Greater London","2015-03-01","Mar",2015,"Q1_2015",5,675,62,55,30,153,40,67,89,171,109,354,146
"Norfolk","East of England","2015-03-01","Mar",2015,"Q1_2015",0,35,0,3,0,13,1,7,3,12,2,12,9
"Northamptonshire","East Midlands","2015-03-01","Mar",2015,"Q1_2015",0,27,11,6,5,15,0,6,0,8,6,12,6
"Northumbria","North East","2015-03-01","Mar",2015,"Q1_2015",0,130,6,12,2,49,4,21,10,65,18,52,25
"North Wales","Cymru/Wales","2015-03-01","Mar",2015,"Q1_2015",0,42,10,4,0,5,2,6,2,3,3,15,10
"North Yorkshire","Yorkshire and Humberside","2015-03-01","Mar",2015,"Q1_2015",0,22,1,4,1,19,6,4,4,6,3,21,4
"Nottinghamshire","East Midlands","2015-03-01","Mar",2015,"Q1_2015",0,83,4,9,1,26,4,14,10,21,10,18,19
"South Wales","Cymru/Wales","2015-03-01","Mar",2015,"Q1_2015",0,140,14,7,9,26,1,5,12,25,5,79,13
"South Yorkshire","Yorkshire and Humberside","2015-03-01","Mar",2015,"Q1_2015",0,63,2,8,6,26,2,16,4,8,7,19,12
"Staffordshire","West Midlands","2015-03-01","Mar",2015,"Q1_2015",0,67,6,6,2,21,1,9,4,25,1,47,14
"Suffolk","East of England","2015-03-01","Mar",2015,"Q1_2015",0,27,1,3,0,5,0,3,2,9,2,17,5
"Surrey","South East","2015-03-01","Mar",2015,"Q1_2015",0,57,5,5,3,9,2,10,2,15,10,16,7
"Sussex","South East","2015-03-01","Mar",2015,"Q1_2015",0,67,10,3,3,26,3,13,12,21,9,28,16
"Thames Valley","Thames and Chiltern","2015-03-01","Mar",2015,"Q1_2015",0,163,26,7,7,34,4,14,8,25,17,47,25
"Warwickshire","West Midlands","2015-03-01","Mar",2015,"Q1_2015",1,19,1,1,4,9,0,2,2,7,4,20,3
"West Mercia","West Midlands","2015-03-01","Mar",2015,"Q1_2015",0,64,8,7,3,12,3,4,2,10,4,17,2
"West Midlands","West Midlands","2015-03-01","Mar",2015,"Q1_2015",0,195,15,11,18,45,8,22,17,19,17,69,47
"West Yorkshire","Yorkshire and Humberside","2015-03-01","Mar",2015,"Q1_2015",1,161,17,26,8,47,12,10,11,21,9,65,24
"Wiltshire","Oxfordshire","2015-03-01","Mar",2015,"Q1_2015",0,30,5,0,0,14,0,3,4,9,3,12,2
"Avon and Somerset","South West","2015-04-01","Apr",2015,"Q2_2015",0,67,20,2,0,18,4,8,1,12,11,49,30
"Bedfordshire","Thames and Chiltern","2015-04-01","Apr",2015,"Q2_2015",0,30,4,2,0,7,2,2,0,2,5,6,9
"Cambridgeshire","East of England","2015-04-01","Apr",2015,"Q2_2015",0,22,1,0,0,14,2,4,1,5,1,12,6
"Cheshire","Mersey-Cheshire","2015-04-01","Apr",2015,"Q2_2015",0,38,7,0,1,10,0,4,2,8,8,20,7
"Cleveland","North East","2015-04-01","Apr",2015,"Q2_2015",0,31,7,4,0,25,0,18,7,24,4,5,1
"Cumbria","North West","2015-04-01","Apr",2015,"Q2_2015",0,18,3,0,0,7,0,0,1,3,4,16,3
"Derbyshire","East Midlands","2015-04-01","Apr",2015,"Q2_2015",0,43,0,5,3,8,0,6,4,3,5,10,9
"Devon and Cornwall","South West","2015-04-01","Apr",2015,"Q2_2015",0,60,0,0,0,14,1,10,3,6,5,16,22
"Dorset","Oxfordshire","2015-04-01","Apr",2015,"Q2_2015",0,28,1,0,1,5,0,2,0,3,0,10,3
"Durham","North East","2015-04-01","Apr",2015,"Q2_2015",0,29,7,3,0,10,0,7,1,11,1,6,3
"Dyfed Powys","Cymru/Wales","2015-04-01","Apr",2015,"Q2_2015",0,25,3,1,0,2,0,9,5,6,1,9,4
"Essex","East of England","2015-04-01","Apr",2015,"Q2_2015",0,103,13,4,2,22,5,11,3,8,3,61,18
"Gloucestershire","South West","2015-04-01","Apr",2015,"Q2_2015",0,28,0,2,0,2,0,1,1,3,2,11,10
"GreaterManchester","North West","2015-04-01","Apr",2015,"Q2_2015",2,160,30,9,10,36,5,18,19,32,8,61,33
"Gwent","Cymru/Wales","2015-04-01","Apr",2015,"Q2_2015",1,25,3,3,1,2,1,3,0,9,0,4,2
"Hampshire","Oxfordshire","2015-04-01","Apr",2015,"Q2_2015",0,79,12,7,2,19,1,6,10,11,2,30,16
"Hertfordshire","Thames and Chiltern","2015-04-01","Apr",2015,"Q2_2015",1,43,1,4,0,22,3,6,4,7,7,21,26
"Humberside","Yorkshire and Humberside","2015-04-01","Apr",2015,"Q2_2015",0,23,10,10,1,13,0,12,3,12,5,19,5
"Kent","South East","2015-04-01","Apr",2015,"Q2_2015",0,76,10,2,5,50,1,10,5,15,11,22,24
"Lancashire","North West","2015-04-01","Apr",2015,"Q2_2015",0,75,5,2,0,19,4,18,7,17,12,46,16
"Leicestershire","East Midlands","2015-04-01","Apr",2015,"Q2_2015",0,57,6,1,1,15,1,4,1,7,2,24,15
"Lincolnshire","East Midlands","2015-04-01","Apr",2015,"Q2_2015",0,18,2,1,0,5,0,6,4,6,1,18,7
"Merseyside","Mersey-Cheshire","2015-04-01","Apr",2015,"Q2_2015",0,95,9,2,7,15,3,8,10,13,12,18,11
"Metropolitan and City","Greater London","2015-04-01","Apr",2015,"Q2_2015",4,723,56,65,39,152,30,73,95,134,93,351,171
"Norfolk","East of England","2015-04-01","Apr",2015,"Q2_2015",0,45,0,2,1,12,3,2,2,13,3,13,12
"Northamptonshire","East Midlands","2015-04-01","Apr",2015,"Q2_2015",0,39,1,0,2,14,0,9,0,7,1,6,6
"Northumbria","North East","2015-04-01","Apr",2015,"Q2_2015",0,123,6,13,4,46,4,20,7,40,15,58,7
"North Wales","Cymru/Wales","2015-04-01","Apr",2015,"Q2_2015",0,36,9,1,1,5,1,4,1,4,2,11,2
"North Yorkshire","Yorkshire and Humberside","2015-04-01","Apr",2015,"Q2_2015",1,20,0,3,0,7,0,5,2,9,1,12,4
"Nottinghamshire","East Midlands","2015-04-01","Apr",2015,"Q2_2015",0,82,7,5,8,22,2,7,6,16,11,14,20
"South Wales","Cymru/Wales","2015-04-01","Apr",2015,"Q2_2015",1,99,9,8,1,12,3,13,7,26,6,52,16
"South Yorkshire","Yorkshire and Humberside","2015-04-01","Apr",2015,"Q2_2015",0,55,6,8,6,23,1,10,11,11,3,14,15
"Staffordshire","West Midlands","2015-04-01","Apr",2015,"Q2_2015",0,66,4,8,0,8,3,7,2,14,6,35,6
"Suffolk","East of England","2015-04-01","Apr",2015,"Q2_2015",0,27,1,1,0,3,2,2,3,6,1,26,4
"Surrey","South East","2015-04-01","Apr",2015,"Q2_2015",0,40,4,3,0,9,1,3,4,6,1,20,8
"Sussex","South East","2015-04-01","Apr",2015,"Q2_2015",0,79,13,6,1,20,0,10,6,7,9,26,16
"Thames Valley","Thames and Chiltern","2015-04-01","Apr",2015,"Q2_2015",0,101,17,3,5,23,3,12,8,15,11,38,31
"Warwickshire","West Midlands","2015-04-01","Apr",2015,"Q2_2015",0,16,1,1,2,5,0,0,0,1,1,31,3
"West Mercia","West Midlands","2015-04-01","Apr",2015,"Q2_2015",0,59,4,3,0,16,2,6,5,9,3,20,6
"West Midlands","West Midlands","2015-04-01","Apr",2015,"Q2_2015",0,185,13,20,16,45,3,16,8,27,16,58,30
"West Yorkshire","Yorkshire and Humberside","2015-04-01","Apr",2015,"Q2_2015",1,122,10,14,2,38,3,17,11,27,11,49,23
"Wiltshire","Oxfordshire","2015-04-01","Apr",2015,"Q2_2015",0,21,1,1,1,8,0,3,2,3,1,10,5
"Avon and Somerset","South West","2015-05-01","May",2015,"Q2_2015",1,75,9,2,1,10,5,5,6,14,13,46,32
"Bedfordshire","Thames and Chiltern","2015-05-01","May",2015,"Q2_2015",0,35,1,2,1,7,0,6,1,5,3,11,11
"Cambridgeshire","East of England","2015-05-01","May",2015,"Q2_2015",0,24,3,1,4,5,0,2,3,6,1,14,15
"Cheshire","Mersey-Cheshire","2015-05-01","May",2015,"Q2_2015",0,61,1,5,1,11,2,4,2,8,4,18,9
"Cleveland","North East","2015-05-01","May",2015,"Q2_2015",0,39,3,3,0,20,3,6,3,26,4,8,7
"Cumbria","North West","2015-05-01","May",2015,"Q2_2015",0,14,0,1,0,4,0,4,1,1,3,15,1
"Derbyshire","East Midlands","2015-05-01","May",2015,"Q2_2015",0,53,3,5,6,11,3,10,0,16,5,20,9
"Devon and Cornwall","South West","2015-05-01","May",2015,"Q2_2015",0,58,1,5,3,8,1,12,4,17,9,27,17
"Dorset","Oxfordshire","2015-05-01","May",2015,"Q2_2015",0,24,3,1,0,9,2,2,3,7,1,10,8
"Durham","North East","2015-05-01","May",2015,"Q2_2015",0,44,3,0,0,12,2,6,3,14,0,5,0
"Dyfed Powys","Cymru/Wales","2015-05-01","May",2015,"Q2_2015",0,16,4,2,0,7,0,1,4,4,0,16,4
"Essex","East of England","2015-05-01","May",2015,"Q2_2015",0,85,17,8,3,13,2,8,2,4,9,42,24
"Gloucestershire","South West","2015-05-01","May",2015,"Q2_2015",0,26,0,1,0,7,1,2,0,0,6,8,11
"GreaterManchester","North West","2015-05-01","May",2015,"Q2_2015",2,155,18,6,4,25,3,12,13,35,12,73,33
"Gwent","Cymru/Wales","2015-05-01","May",2015,"Q2_2015",1,30,4,3,0,8,1,9,2,8,0,8,5
"Hampshire","Oxfordshire","2015-05-01","May",2015,"Q2_2015",1,82,7,11,1,10,1,12,11,17,5,23,17
"Hertfordshire","Thames and Chiltern","2015-05-01","May",2015,"Q2_2015",1,35,1,1,4,11,1,5,7,12,1,23,22
"Humberside","Yorkshire and Humberside","2015-05-01","May",2015,"Q2_2015",0,35,9,6,3,12,2,9,1,13,1,26,7
"Kent","South East","2015-05-01","May",2015,"Q2_2015",0,68,14,11,2,33,3,12,4,19,9,20,20
"Lancashire","North West","2015-05-01","May",2015,"Q2_2015",0,85,16,6,3,15,1,16,5,25,19,37,10
"Leicestershire","East Midlands","2015-05-01","May",2015,"Q2_2015",1,48,4,1,0,16,3,4,4,12,4,25,11
"Lincolnshire","East Midlands","2015-05-01","May",2015,"Q2_2015",0,27,0,2,0,14,0,6,1,9,3,17,7
"Merseyside","Mersey-Cheshire","2015-05-01","May",2015,"Q2_2015",0,97,8,5,3,12,0,11,17,13,13,30,14
"Metropolitan and City","Greater London","2015-05-01","May",2015,"Q2_2015",3,594,54,37,34,124,49,72,55,102,96,311,184
