"county_areas","region","date","month","year","quarter","homicide_con","offences_against_the_person_con","sexual_offences_con","burglary_con","robbery_con","theft_and_handling_con","fraud_and_forgery_con","criminal_damage_con","drugs_offences_con","public_order_offences_con","all_other_offences_con","motoring_offences_con"
"Devon and Cornwall","South West","2015-01-01","Jan",2015,"Q1_2015",1,165,14,25,8,151,6,52,67,78,75,222
"Dorset","Oxfordshire","2015-01-01","Jan",2015,"Q1_2015",0,96,7,10,8,124,6,23,32,43,13,81
"Durham","North East","2015-01-01","Jan",2015,"Q1_2015",1,118,7,22,3,138,12,55,28,55,8,100
"Dyfed Powys","Cymru/Wales","2015-01-01","Jan",2015,"Q1_2015",1,77,5,9,0,70,6,28,103,56,4,75
"Essex","East of England","2015-01-01","Jan",2015,"Q1_2015",2,326,32,44,7,279,23,55,89,97,38,231
"Gloucestershire","South West","2015-01-01","Jan",2015,"Q1_2015",1,61,4,12,0,103,8,23,38,30,20,58
"GreaterManchester","North West","2015-01-01","Jan",2015,"Q1_2015",4,660,56,83,17,446,59,148,165,290,66,420
"Gwent","Cymru/Wales","2015-01-01","Jan",2015,"Q1_2015",3,114,7,17,3,116,8,44,58,62,2,86
"Hampshire","Oxfordshire","2015-01-01","Jan",2015,"Q1_2015",0,348,38,29,10,318,29,71,126,126,21,262
"Hertfordshire","Thames and Chiltern","2015-01-01","Jan",2015,"Q1_2015",0,186,9,19,11,159,23,43,81,62,11,167
"Humberside","Yorkshire and Humberside","2015-01-01","Jan",2015,"Q1_2015",1,193,42,22,5,222,16,50,67,99,22,133
"Kent","South East","2015-01-01","Jan",2015,"Q1_2015",2,231,25,37,10,257,13,71,105,82,69,192
"Lancashire","North West","2015-01-01","Jan",2015,"Q1_2015",0,283,29,73,33,243,22,95,106,156,89,270
"Leicestershire","East Midlands","2015-01-01","Jan",2015,"Q1_2015",1,160,20,21,11,195,14,35,39,56,25,122
"Lincolnshire","East Midlands","2015-01-01","Jan",2015,"Q1_2015",1,98,6,20,5,145,3,28,29,64,8,133
"Merseyside","Mersey-Cheshire","2015-01-01","Jan",2015,"Q1_2015",3,284,26,46,22,276,13,66,265,126,97,200
"Metropolitan and City","Greater London","2015-01-01","Jan",2015,"Q1_2015",9,1382,130,228,134,1210,203,309,1040,568,478,1238
"Norfolk","East of England","2015-01-01","Jan",2015,"Q1_2015",0,205,11,12,3,149,11,57,71,92,13,115
"Northamptonshire","East Midlands","2015-01-01","Jan",2015,"Q1_2015",0,90,13,10,5,117,4,14,47,41,10,88
"Northumbria","North East","2015-01-01","Jan",2015,"Q1_2015",2,255,17,34,4,439,20,100,94,195,61,186
"North Wales","Cymru/Wales","2015-01-01","Jan",2015,"Q1_2015",0,137,14,17,3,133,6,50,26,94,13,110
"North Yorkshire","Yorkshire and Humberside","2015-01-01","Jan",2015,"Q1_2015",1,110,7,8,2,129,8,32,33,78,18,110
"Nottinghamshire","East Midlands","2015-01-01","Jan",2015,"Q1_2015",0,237,14,29,4,235,12,60,98,64,38,151
"South Wales","Cymru/Wales","2015-01-01","Jan",2015,"Q1_2015",0,326,18,60,8,305,16,100,198,217,13,771
"South Yorkshire","Yorkshire and Humberside","2015-01-01","Jan",2015,"Q1_2015",2,204,7,32,12,346,9,66,103,115,49,166
"Staffordshire","West Midlands","2015-01-01","Jan",2015,"Q1_2015",0,181,16,30,6,198,12,45,71,71,37,146
"Suffolk","East of England","2015-01-01","Jan",2015,"Q1_2015",1,158,9,11,4,98,6,33,43,57,14,96
"Surrey","South East","2015-01-01","Jan",2015,"Q1_2015",0,117,6,24,3,99,6,25,52,44,41,160
"Sussex","South East","2015-01-01","Jan",2015,"Q1_2015",0,206,22,21,6,243,19,56,111,65,60,231
"Thames Valley","Thames and Chiltern","2015-01-01","Jan",2015,"Q1_2015",0,334,32,29,17,319,28,62,145,138,20,296
"Warwickshire","West Midlands","2015-01-01","Jan",2015,"Q1_2015",0,59,3,10,5,64,1,28,14,24,26,81
"West Mercia","West Midlands","2015-01-01","Jan",2015,"Q1_2015",1,172,27,17,7,167,4,31,62,82,34,164
"West Midlands","West Midlands","2015-01-01","Jan",2015,"Q1_2015",1,500,35,95,49,567,27,117,187,159,128,349
"West Yorkshire","Yorkshire and Humberside","2015-01-01","Jan",2015,"Q1_2015",7,417,55,123,32,395,27,109,106,140,58,314
"Wiltshire","Oxfordshire","2015-01-01","Jan",2015,"Q1_2015",0,101,4,6,2,88,4,21,20,33,5,63
"Avon and Somerset","South West","2015-02-01","Feb",2015,"Q1_2015",0,264,36,39,21,273,9,64,97,75,61,223
"Bedfordshire","Thames and Chiltern","2015-02-01","Feb",2015,"Q1_2015",0,84,4,9,8,70,5,20,38,25,17,63
"Cambridgeshire","East of England","2015-02-01","Feb",2015,"Q1_2015",1,125,14,15,8,108,5,20,56,46,3,84
"Cheshire","Mersey-Cheshire","2015-02-01","Feb",2015,"Q1_2015",1,197,11,31,6,203,10,35,86,95,39,164
"Cleveland","North East","2015-02-01","Feb",2015,"Q1_2015",0,126,10,35,7,273,8,53,64,79,13,63
"Cumbria","North West","2015-02-01","Feb",2015,"Q1_2015",0,109,2,10,2,105,4,27,39,71,31,93
"Derbyshire","East Midlands","2015-02-01","Feb",2015,"Q1_2015",1,163,12,19,12,218,13,52,82,63,43,133
"Devon and Cornwall","South West","2015-02-01","Feb",2015,"Q1_2015",0,150,13,15,1,144,6,50,59,43,52,174
"Dorset","Oxfordshire","2015-02-01","Feb",2015,"Q1_2015",0,85,6,6,2,93,3,27,29,34,5,82
"Durham","North East","2015-02-01","Feb",2015,"Q1_2015",0,106,7,16,5,139,6,47,21,52,6,73
"Dyfed Powys","Cymru/Wales","2015-02-01","Feb",2015,"Q1_2015",0,62,4,2,0,47,3,30,78,26,1,61
"Essex","East of England","2015-02-01","Feb",2015,"Q1_2015",1,346,27,42,8,246,19,53,89,52,45,190
"Gloucestershire","South West","2015-02-01","Feb",2015,"Q1_2015",2,56,6,14,9,100,16,10,35,14,23,72
"GreaterManchester","North West","2015-02-01","Feb",2015,"Q1_2015",3,624,45,99,38,500,39,143,201,250,45,400
"Gwent","Cymru/Wales","2015-02-01","Feb",2015,"Q1_2015",1,83,8,23,8,151,4,40,68,68,9,70
"Hampshire","Oxfordshire","2015-02-01","Feb",2015,"Q1_2015",1,312,44,41,5,295,13,59,121,112,17,208
"Hertfordshire","Thames and Chiltern","2015-02-01","Feb",2015,"Q1_2015",0,161,4,21,5,156,9,29,68,47,15,123
"Humberside","Yorkshire and Humberside","2015-02-01","Feb",2015,"Q1_2015",0,157,30,29,7,201,15,47,63,69,26,110
"Kent","South East","2015-02-01","Feb",2015,"Q1_2015",1,199,21,39,11,274,25,67,83,87,68,190
"Lancashire","North West","2015-02-01","Feb",2015,"Q1_2015",1,265,31,64,23,277,15,81,98,175,116,264
"Leicestershire","East Midlands","2015-02-01","Feb",2015,"Q1_2015",0,173,15,22,4,164,12,41,39,68,17,116
"Lincolnshire","East Midlands","2015-02-01","Feb",2015,"Q1_2015",3,97,10,11,3,103,12,23,27,50,19,124
"Merseyside","Mersey-Cheshire","2015-02-01","Feb",2015,"Q1_2015",2,285,32,39,15,292,31,76,264,153,81,191
"Metropolitan and City","Greater London","2015-02-01","Feb",2015,"Q1_2015",14,1327,109,278,140,1220,225,314,1025,588,483,1231
"Norfolk","East of England","2015-02-01","Feb",2015,"Q1_2015",0,149,13,15,1,143,14,46,74,90,18,89
"Northamptonshire","East Midlands","2015-02-01","Feb",2015,"Q1_2015",0,105,10,13,0,99,6,27,39,30,15,121
"Northumbria","North East","2015-02-01","Feb",2015,"Q1_2015",1,282,13,64,13,422,23,77,76,197,59,219
"North Wales","Cymru/Wales","2015-02-01","Feb",2015,"Q1_2015",1,161,16,22,3,139,7,45,59,65,12,78
"North Yorkshire","Yorkshire and Humberside","2015-02-01","Feb",2015,"Q1_2015",1,102,9,22,3,144,7,34,35,64,28,112
"Nottinghamshire","East Midlands","2015-02-01","Feb",2015,"Q1_2015",1,233,18,23,9,273,17,63,123,78,51,172
"South Wales","Cymru/Wales","2015-02-01","Feb",2015,"Q1_2015",1,339,26,44,12,300,17,69,169,167,14,643
"South Yorkshire","Yorkshire and Humberside","2015-02-01","Feb",2015,"Q1_2015",5,227,9,49,10,283,11,64,87,99,24,141
"Staffordshire","West Midlands","2015-02-01","Feb",2015,"Q1_2015",0,157,10,31,7,196,14,40,66,75,21,186
"Suffolk","East of England","2015-02-01","Feb",2015,"Q1_2015",0,110,6,9,2,135,8,42,66,66,9,87
"Surrey","South East","2015-02-01","Feb",2015,"Q1_2015",0,111,10,16,1,83,11,20,67,41,32,132
"Sussex","South East","2015-02-01","Feb",2015,"Q1_2015",0,261,25,34,2,241,23,60,97,89,40,225
"Thames Valley","Thames and Chiltern","2015-02-01","Feb",2015,"Q1_2015",3,300,35,40,11,330,32,62,133,121,34,235
"Warwickshire","West Midlands","2015-02-01","Feb",2015,"Q1_2015",2,60,10,7,5,65,4,12,12,25,14,85
"West Mercia","West Midlands","2015-02-01","Feb",2015,"Q1_2015",0,206,13,23,1,164,17,27,61,67,25,139
"West Midlands","West Midlands","2015-02-01","Feb",2015,"Q1_2015",0,461,41,79,42,647,35,88,216,137,132,310
"West Yorkshire","Yorkshire and Humberside","2015-02-01","Feb",2015,"Q1_2015",4,466,42,78,24,378,22,104,116,115,52,302
"Wiltshire","Oxfordshire","2015-02-01","Feb",2015,"Q1_2015",0,108,9,6,0,94,3,33,26,59,5,66
"Avon and Somerset","South West","2015-03-01","Mar",2015,"Q1_2015",0,277,54,49,5,338,23,74,94,124,72,244
"Bedfordshire","Thames and Chiltern","2015-03-01","Mar",2015,"Q1_2015",0,125,4,17,7,106,11,15,47,49,18,74
"Cambridgeshire","East of England","2015-03-01","Mar",2015,"Q1_2015",0,110,6,15,3,108,7,22,46,32,9,71
"Cheshire","Mersey-Cheshire","2015-03-01","Mar",2015,"Q1_2015",0,193,14,33,11,185,20,32,117,63,68,110
"Cleveland","North East","2015-03-01","Mar",2015,"Q1_2015",0,136,14,29,4,284,11,37,76,111,15,86
"Cumbria","North West","2015-03-01","Mar",2015,"Q1_2015",1,96,12,14,0,95,7,33,55,51,58,114
"Derbyshire","East Midlands","2015-03-01","Mar",2015,"Q1_2015",0,160,34,39,11,201,14,54,73,52,32,99
"Devon and Cornwall","South West","2015-03-01","Mar",2015,"Q1_2015",2,205,12,40,14,183,18,71,108,61,89,186
"Dorset","Oxfordshire","2015-03-01","Mar",2015,"Q1_2015",0,105,11,14,2,103,6,28,40,35,9,77
"Durham","North East","2015-03-01","Mar",2015,"Q1_2015",0,128,9,34,3,157,7,45,28,59,6,88
"Dyfed Powys","Cymru/Wales","2015-03-01","Mar",2015,"Q1_2015",1,64,8,10,0,51,6,14,69,31,2,68
"Essex","East of England","2015-03-01","Mar",2015,"Q1_2015",0,294,38,45,12,233,23,73,109,51,36,222
"Gloucestershire","South West","2015-03-01","Mar",2015,"Q1_2015",0,74,4,27,5,74,6,22,35,9,26,61
"GreaterManchester","North West","2015-03-01","Mar",2015,"Q1_2015",3,700,52,91,33,473,43,140,207,267,47,373
"Gwent","Cymru/Wales","2015-03-01","Mar",2015,"Q1_2015",2,111,11,12,6,119,8,41,49,66,3,77
"Hampshire","Oxfordshire","2015-03-01","Mar",2015,"Q1_2015",3,299,40,41,11,287,12,67,113,107,26,227
"Hertfordshire","Thames and Chiltern","2015-03-01","Mar",2015,"Q1_2015",0,208,11,21,10,182,8,28,81,57,18,167
"Humberside","Yorkshire and Humberside","2015-03-01","Mar",2015,"Q1_2015",1,193,23,36,11,237,14,49,66,80,20,123
"Kent","South East","2015-03-01","Mar",2015,"Q1_2015",0,267,33,68,15,324,25,67,99,82,77,202
"Lancashire","North West","2015-03-01","Mar",2015,"Q1_2015",2,323,22,76,20,449,25,104,122,162,115,327
"Leicestershire","East Midlands","2015-03-01","Mar",2015,"Q1_2015",0,176,12,33,10,174,19,40,44,40,20,128
"Lincolnshire","East Midlands","2015-03-01","Mar",2015,"Q1_2015",1,107,0,13,3,96,9,26,36,55,14,139
"Merseyside","Mersey-Cheshire","2015-03-01","Mar",2015,"Q1_2015",4,318,34,45,8,298,14,63,243,112,112,183
"Metropolitan and City","Greater London","2015-03-01","Mar",2015,"Q1_2015",13,1426,155,216,106,1285,211,311,1045,656,489,1358
"Norfolk","East of England","2015-03-01","Mar",2015,"Q1_2015",0,203,6,18,6,143,4,53,54,106,12,118
"Northamptonshire","East Midlands","2015-03-01","Mar",2015,"Q1_2015",0,122,9,18,6,137,7,37,40,45,19,120
"Northumbria","North East","2015-03-01","Mar",2015,"Q1_2015",2,254,25,55,10,460,24,113,108,243,73,248
"North Wales","Cymru/Wales","2015-03-01","Mar",2015,"Q1_2015",0,142,16,28,5,136,8,28,36,86,15,86
"North Yorkshire","Yorkshire and Humberside","2015-03-01","Mar",2015,"Q1_2015",0,112,1,23,3,130,14,36,40,55,24,130
"Nottinghamshire","East Midlands","2015-03-01","Mar",2015,"Q1_2015",0,234,14,25,9,248,11,89,113,96,44,141
"South Wales","Cymru/Wales","2015-03-01","Mar",2015,"Q1_2015",1,323,17,51,10,281,15,86,119,145,8,658
"South Yorkshire","Yorkshire and Humberside","2015-03-01","Mar",2015,"Q1_2015",0,236,10,57,17,338,15,82,96,98,34,157
"Staffordshire","West Midlands","2015-03-01","Mar",2015,"Q1_2015",2,225,14,42,10,219,11,58,88,78,33,156
"Suffolk","East of England","2015-03-01","Mar",2015,"Q1_2015",0,139,8,16,1,98,5,38,37,52,7,107
"Surrey","South East","2015-03-01","Mar",2015,"Q1_2015",0,162,7,13,4,93,13,23,64,48,22,121
"Sussex","South East","2015-03-01","Mar",2015,"Q1_2015",1,270,30,30,10,224,27,65,91,83,63,228
"Thames Valley","Thames and Chiltern","2015-03-01","Mar",2015,"Q1_2015",2,381,45,47,15,321,29,66,142,127,26,258
"Warwickshire","West Midlands","2015-03-01","Mar",2015,"Q1_2015",0,66,5,9,2,73,6,10,26,16,25,81
"West Mercia","West Midlands","2015-03-01","Mar",2015,"Q1_2015",5,223,22,19,7,189,11,46,42,52,35,146
"West Midlands","West Midlands","2015-03-01","Mar",2015,"Q1_2015",2,513,38,84,46,683,31,120,208,152,135,335
"West Yorkshire","Yorkshire and Humberside","2015-03-01","Mar",2015,"Q1_2015",8,470,51,61,22,447,34,102,152,145,56,314
"Wiltshire","Oxfordshire","2015-03-01","Mar",2015,"Q1_2015",1,139,15,7,3,105,5,28,39,63,5,71
"Avon and Somerset","South West","2015-04-01","Apr",2015,"Q2_2015",3,262,50,24,11,269,15,82,96,86,56,205
"Bedfordshire","Thames and Chiltern","2015-04-01","Apr",2015,"Q2_2015",0,81,3,14,14,54,10,12,31,23,15,51
"Cambridgeshire","East of England","2015-04-01","Apr",2015,"Q2_2015",0,115,6,16,2,87,10,20,50,61,15,87
"Cheshire","Mersey-Cheshire","2015-04-01","Apr",2015,"Q2_2015",1,177,18,25,1,149,9,24,95,48,65,105
"Cleveland","North East","2015-04-01","Apr",2015,"Q2_2015",1,127,9,26,9,285,8,50,84,77,8,69
"Cumbria","North West","2015-04-01","Apr",2015,"Q2_2015",0,100,5,10,0,94,5,27,40,42,56,95
"Derbyshire","East Midlands","2015-04-01","Apr",2015,"Q2_2015",0,166,7,13,4,120,12,44,63,72,26,107
"Devon and Cornwall","South West","2015-04-01","Apr",2015,"Q2_2015",0,169,5,22,1,148,3,49,63,39,78,150
"Dorset","Oxfordshire","2015-04-01","Apr",2015,"Q2_2015",0,101,8,15,3,112,4,26,41,34,1,84
"Durham","North East","2015-04-01","Apr",2015,"Q2_2015",0,103,12,27,2,117,16,47,26,47,5,70
"Dyfed Powys","Cymru/Wales","2015-04-01","Apr",2015,"Q2_2015",0,72,3,7,1,43,2,29,86,35,0,50
"Essex","East of England","2015-04-01","Apr",2015,"Q2_2015",1,280,38,28,5,159,20,65,57,70,45,193
"Gloucestershire","South West","2015-04-01","Apr",2015,"Q2_2015",0,56,4,11,3,58,3,16,17,27,22,46
"GreaterManchester","North West","2015-04-01","Apr",2015,"Q2_2015",2,644,65,101,48,466,48,126,180,240,62,433
"Gwent","Cymru/Wales","2015-04-01","Apr",2015,"Q2_2015",0,98,5,19,2,106,7,45,47,73,12,85
"Hampshire","Oxfordshire","2015-04-01","Apr",2015,"Q2_2015",5,319,43,28,5,214,27,54,78,69,16,248
"Hertfordshire","Thames and Chiltern","2015-04-01","Apr",2015,"Q2_2015",0,135,6,9,5,154,12,27,40,48,28,88
"Humberside","Yorkshire and Humberside","2015-04-01","Apr",2015,"Q2_2015",1,154,29,24,9,222,12,50,73,80,34,139
"Kent","South East","2015-04-01","Apr",2015,"Q2_2015",4,257,27,25,9,241,17,67,70,68,67,180
"Lancashire","North West","2015-04-01","Apr",2015,"Q2_2015",1,290,25,45,26,218,16,77,84,109,96,234
"Leicestershire","East Midlands","2015-04-01","Apr",2015,"Q2_2015",1,149,18,22,9,147,15,26,46,64,22,120
"Lincolnshire","East Midlands","2015-04-01","Apr",2015,"Q2_2015",2,105,12,20,1,125,6,26,44,34,29,144
"Merseyside","Mersey-Cheshire","2015-04-01","Apr",2015,"Q2_2015",2,308,18,33,13,260,10,66,227,59,109,192
"Metropolitan and City","Greater London","2015-04-01","Apr",2015,"Q2_2015",38,1421,124,206,118,1230,201,335,1010,578,511,1225
"Norfolk","East of England","2015-04-01","Apr",2015,"Q2_2015",0,183,6,13,2,133,19,46,48,99,18,125
"Northamptonshire","East Midlands","2015-04-01","Apr",2015,"Q2_2015",0,122,3,4,6,123,7,28,37,42,15,117
"Northumbria","North East","2015-04-01","Apr",2015,"Q2_2015",1,273,27,38,8,479,15,105,93,210,54,199
"North Wales","Cymru/Wales","2015-04-01","Apr",2015,"Q2_2015",0,130,8,25,1,143,3,35,41,70,19,119
"North Yorkshire","Yorkshire and Humberside","2015-04-01","Apr",2015,"Q2_2015",2,121,6,12,7,149,9,39,43,79,9,113
"Nottinghamshire","East Midlands","2015-04-01","Apr",2015,"Q2_2015",0,200,13,21,5,183,29,58,103,74,41,120
"South Wales","Cymru/Wales","2015-04-01","Apr",2015,"Q2_2015",1,303,26,38,5,284,11,80,150,179,22,662
"South Yorkshire","Yorkshire and Humberside","2015-04-01","Apr",2015,"Q2_2015",0,237,9,27,9,303,25,61,120,98,36,169
"Staffordshire","West Midlands","2015-04-01","Apr",2015,"Q2_2015",4,151,17,22,5,171,9,39,59,59,31,163
"Suffolk","East of England","2015-04-01","Apr",2015,"Q2_2015",0,130,2,4,6,98,5,34,34,44,4,99
"Surrey","South East","2015-04-01","Apr",2015,"Q2_2015",0,148,12,18,4,107,32,28,54,54,20,116
"Sussex","South East","2015-04-01","Apr",2015,"Q2_2015",0,269,28,36,6,235,11,52,92,63,41,214
"Thames Valley","Thames and Chiltern","2015-04-01","Apr",2015,"Q2_2015",5,291,40,34,17,282,31,57,127,104,31,231
"Warwickshire","West Midlands","2015-04-01","Apr",2015,"Q2_2015",1,78,4,10,2,55,4,10,10,13,21,76
"West Mercia","West Midlands","2015-04-01","Apr",2015,"Q2_2015",2,165,17,23,4,139,11,44,57,51,24,152
"West Midlands","West Midlands","2015-04-01","Apr",2015,"Q2_2015",4,540,51,58,49,583,26,86,183,129,99,322
"West Yorkshire","Yorkshire and Humberside","2015-04-01","Apr",2015,"Q2_2015",2,443,41,77,18,380,25,103,149,120,64,298
"Wiltshire","Oxfordshire","2015-04-01","Apr",2015,"Q2_2015",0,81,6,9,8,75,9,26,30,35,0,73
"Avon and Somerset","South West","2015-05-01","May",2015,"Q2_2015",5,223,44,30,5,237,18,59,92,82,61,209
"Bedfordshire","Thames and Chiltern","2015-05-01","May",2015,"Q2_2015",1,98,6,12,16,86,7,24,30,47,17,65
"Cambridgeshire","East of England","2015-05-01","May",2015,"Q2_2015",1,105,6,11,11,105,8,27,35,41,7,99
"Cheshire","Mersey-Cheshire","2015-05-01","May",2015,"Q2_2015",1,241,25,31,3,213,13,54,111,70,47,180
"Cleveland","North East","2015-05-01","May",2015,"Q2_2015",1,102,11,20,6,237,20,35,41,95,5,74
"Cumbria","North West","2015-05-01","May",2015,"Q2_2015",0,77,6,13,0,69,5,23,37,40,57,79
"Derbyshire","East Midlands","2015-05-01","May",2015,"Q2_2015",1,147,18,11,2,125,14,39,69,69,17,109
"Devon and Cornwall","South West","2015-05-01","May",2015,"Q2_2015",2,181,10,23,5,134,11,50,80,65,68,169
"Dorset","Oxfordshire","2015-05-01","May",2015,"Q2_2015",0,97,8,12,0,87,6,25,45,42,4,85
"Durham","North East","2015-05-01","May",2015,"Q2_2015",0,122,10,15,2,125,3,39,16,54,12,77
"Dyfed Powys","Cymru/Wales","2015-05-01","May",2015,"Q2_2015",0,57,4,8,0,44,2,25,59,25,2,51
"Essex","East of England","2015-05-01","May",2015,"Q2_2015",0,280,43,12,8,178,15,47,88,32,47,163
"Gloucestershire","South West","2015-05-01","May",2015,"Q2_2015",0,70,1,16,0,93,6,18,17,13,14,51
"GreaterManchester","North West","2015-05-01","May",2015,"Q2_2015",1,619,41,64,24,393,28,133,161,257,67,360
"Gwent","Cymru/Wales","2015-05-01","May",2015,"Q2_2015",0,100,6,18,9,80,3,36,46,51,5,55
"Hampshire","Oxfordshire","2015-05-01","May",2015,"Q2_2015",1,324,33,25,12,245,21,77,102,83,13,246
"Hertfordshire","Thames and Chiltern","2015-05-01","May",2015,"Q2_2015",1,151,6,25,4,190,17,36,51,62,26,107
"Humberside","Yorkshire and Humberside","2015-05-01","May",2015,"Q2_2015",1,131,13,36,2,179,4,45,61,88,23,121
"Kent","South East","2015-05-01","May",2015,"Q2_2015",1,225,18,40,5,242,27,51,90,53,52,155
"Lancashire","North West","2015-05-01","May",2015,"Q2_2015",1,272,28,51,12,297,14,74,111,118,109,220
"Leicestershire","East Midlands","2015-05-01","May",2015,"Q2_2015",1,129,5,20,4,123,9,23,24,20,13,130
"Lincolnshire","East Midlands","2015-05-01","May",2015,"Q2_2015",1,84,12,16,2,102,2,27,40,46,13,123
"Merseyside","Mersey-Cheshire","2015-05-01","May",2015,"Q2_2015",3,378,35,27,15,293,27,93,221,114,72,198
"Metropolitan and City","Greater London","2015-05-01","May",2015,"Q2_2015",15,1295,142,209,112,1141,183,307,801,480,414,1145
"Norfolk","East of England","2015-05-01","May",2015,"Q2_2015",1,176,6,18,5,140,4,43,55,82,16,100
"Northamptonshire","East Midlands","2015-05-01","May",2015,"Q2_2015",0,116,7,12,2,93,3,34,30,40,17,122
"Northumbria","North East","2015-05-01","May",2015,"Q2_2015",0,265,19,51,8,523,14,101,84,209,60,209
"North Wales","Cymru/Wales","2015-05-01","May",2015,"Q2_2015",0,175,11,11,4,125,7,36,44,81,15,98
"North Yorkshire","Yorkshire and Humberside","2015-05-01","May",2015,"Q2_2015",3,105,4,23,2,148,11,23,39,55,14,110
"Nottinghamshire","East Midlands","2015-05-01","May",2015,"Q2_2015",0,247,15,26,7,230,11,60,117,85,36,182
"South Wales","Cymru/Wales","2015-05-01","May",2015,"Q2_2015",1,270,27,54,9,304,12,60,132,174,8,599
"South Yorkshire","Yorkshire and Humberside","2015-05-01","May",2015,"Q2_2015",5,217,13,32,11,272,19,68,94,63,42,146
"Staffordshire","West Midlands","2015-05-01","May",2015,"Q2_2015",0,158,18,27,12,155,9,35,85,47,29,138
"Suffolk","East of England","2015-05-01","May",2015,"Q2_2015",2,150,6,5,0,78,2,26,32,52,12,88
"Surrey","South East","2015-05-01","May",2015,"Q2_2015",0,136,13,26,4,95,21,20,55,36,24,133
"Sussex","South East","2015-05-01","May",2015,"Q2_2015",0,244,30,26,21,256,14,49,84,73,39,195
"Thames Valley","Thames and Chiltern","2015-05-01","May",2015,"Q2_2015",3,265,32,26,10,279,29,61,98,104,33,242
"Warwickshire","West Midlands","2015-05-01","May",2015,"Q2_2015",1,42,7,12,2,69,2,9,19,19,19,70
"West Mercia","West Midlands","2015-05-01","May",2015,"Q2_2015",2,197,18,19,3,133,10,49,51,45,21,154
"West Midlands","West Midlands","2015-05-01","May",2015,"Q2_2015",3,474,29,62,46,539,18,100,173,114,130,298
"West Yorkshire","Yorkshire and Humberside","2015-05-01","May",2015,"Q2_2015",4,424,46,67,24,396,23,99,150,128,49,304
"Wiltshire","Oxfordshire","2015-05-01","May",2015,"Q2_2015",0,91,6,8,2,71,6,24,24,29,4,75
"Avon and Somerset","South West","2015-06-01","Jun",2015,"Q2_2015",6,267,39,25,11,278,17,67,112,93,40,225
"Bedfordshire","Thames and Chiltern","2015-06-01","Jun",2015,"Q2_2015",1,81,5,17,13,85,10,33,37,34,16,83
"Cambridgeshire","East of England","2015-06-01","Jun",2015,"Q2_2015",0,96,6,21,5,52,10,23,29,13,15,81
"Cheshire","Mersey-Cheshire","2015-06-01","Jun",2015,"Q2_2015",0,201,18,14,3,156,13,39,84,55,32,157
"Cleveland","North East","2015-06-01","Jun",2015,"Q2_2015",1,109,19,39,5,297,10,46,66,103,14,84
"Cumbria","North West","2015-06-01","Jun",2015,"Q2_2015",0,92,9,10,2,93,7,31,52,36,34,81
"Derbyshire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",0,215,11,28,5,211,20,41,92,101,17,125
"Devon and Cornwall","South West","2015-06-01","Jun",2015,"Q2_2015",0,190,4,19,8,173,6,45,77,47,58,200
"Dorset","Oxfordshire","2015-06-01","Jun",2015,"Q2_2015",1,123,13,21,1,111,8,15,47,44,8,84
"Durham","North East","2015-06-01","Jun",2015,"Q2_2015",0,114,8,35,3,129,5,41,22,70,15,75
"Dyfed Powys","Cymru/Wales","2015-06-01","Jun",2015,"Q2_2015",0,101,9,5,1,51,3,22,78,44,5,67
"Essex","East of England","2015-06-01","Jun",2015,"Q2_2015",2,249,37,23,11,158,12,56,67,38,28,195
"Gloucestershire","South West","2015-06-01","Jun",2015,"Q2_2015",0,87,6,9,1,64,4,16,24,15,15,58
"GreaterManchester","North West","2015-06-01","Jun",2015,"Q2_2015",2,705,59,83,30,495,48,185,169,196,93,477
"Gwent","Cymru/Wales","2015-06-01","Jun",2015,"Q2_2015",3,145,8,14,6,106,4,32,51,52,9,67
"Hampshire","Oxfordshire","2015-06-01","Jun",2015,"Q2_2015",2,320,38,28,25,236,15,58,79,108,24,225
"Hertfordshire","Thames and Chiltern","2015-06-01","Jun",2015,"Q2_2015",1,181,6,29,8,191,20,42,86,52,30,189
"Humberside","Yorkshire and Humberside","2015-06-01","Jun",2015,"Q2_2015",0,206,26,23,8,203,11,34,60,87,30,126
"Kent","South East","2015-06-01","Jun",2015,"Q2_2015",2,302,22,50,14,280,24,54,87,72,46,258
"Lancashire","North West","2015-06-01","Jun",2015,"Q2_2015",0,272,38,50,11,296,20,85,123,173,103,300
"Leicestershire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",1,167,6,15,2,121,5,36,47,37,11,127
"Lincolnshire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",0,114,7,12,2,140,5,32,46,68,10,141
"Merseyside","Mersey-Cheshire","2015-06-01","Jun",2015,"Q2_2015",6,303,30,19,5,218,17,49,167,88,50,165
"Metropolitan and City","Greater London","2015-06-01","Jun",2015,"Q2_2015",15,1562,149,227,116,1240,179,365,955,550,479,1418
"Norfolk","East of England","2015-06-01","Jun",2015,"Q2_2015",0,171,6,17,5,155,4,47,35,111,14,120
"Northamptonshire","East Midlands","2015-06-01","Jun",2015,"Q2_2015",0,128,13,14,6,130,6,22,56,40,9,109
"Northumbria","North East","2015-06-01","Jun",2015,"Q2_2015",4,303,24,60,10,462,27,110,134,262,56,208
"North Wales","Cymru/Wales","2015-06-01","Jun",2015,"Q2_2015",1,198,16,16,1,140,4,36,48,45,10,88
